,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
cpu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,5,9,12,17,18,39,59,46,73,106,137,263,348,412,179,173,191,251,227,221,226,299,319,326,329,368,389,449,511,570,537,588,580,584,565,661,718,771,802,748,926,861,893,960,1014,1161,1283,1443,1554,1737,1732,1426,1295,1142,1119,1146,1197,1269,1281,1435,1571,1584,1652,1783,1885,1875,1815,1805,1868,1904,1912,2005,2155,2155,2256,2152,2290,2266,2418,2470,2531,2346,2725,2804,3029,3195,3285,3392,4360,5942,4643,6929,7061,4662,4173,3186,2848,2649,2599,2519,2507,2643,2786,2615,2637,2496,2600,2508,2512,2524,2411,2381,2436,2525,2296,2641,2566,2559,2515,3037,3837,3657,4631,4423,3540,3413,3186,2707,2522,2323,1931,1885,1737,1478,1373,1352,1312,1320,1206,1212,1310,1489,1383,1887,1719,1493,2074,1706,1382,1998,1686,1361,2003,1832,1304,1751,1724,1333,1712,1607,1249,1459,1481,1229,1689,1755,1452,2121,1743,1665,1992,1828,1794,1849,1733,1517,1388,1295,1212,1078,1008,979,924,894,859,894,877,714,765,605,532,508,480,396,401,355,311,290,293,280,252,221,204,184,197,201,182,192,171,160,180,193,181,196,213,228,232,255,294,282,296,302,335,365,447,452,456,516,558,581,649,620,722,745,752,895,2320,774
gpu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,5,9,12,17,18,39,59,46,73,106,137,263,348,412,179,173,191,251,227,221,226,299,319,326,329,368,389,449,511,570,537,588,580,584,565,661,718,771,802,748,926,861,893,960,1014,1161,1283,1443,1554,1737,1732,1426,1295,1142,1119,1146,1197,1269,1281,1435,1571,1584,1652,1783,1885,1875,1815,1805,1868,1904,1912,2005,2155,2155,2256,2152,2290,2266,2418,2470,2531,2346,2725,2804,3029,3195,3285,3392,4360,5942,4643,6929,7061,4662,4173,3186,2848,2649,2599,2519,2507,2643,2786,2615,2637,2496,2600,2508,2512,2524,2411,2381,2436,2525,2296,2641,2566,2559,2515,3037,3837,3657,4631,4423,3540,3413,3186,2707,2522,2323,1931,1885,1737,1478,1373,1352,1312,1320,1206,1212,1310,1489,1383,1887,1719,1493,2074,1706,1382,1998,1686,1361,2003,1832,1304,1751,1724,1333,1712,1607,1249,1459,1481,1229,1689,1755,1452,2121,1743,1665,1992,1828,1794,1849,1733,1517,1388,1295,1212,1078,1008,979,924,894,859,894,877,714,765,605,532,508,480,396,401,355,311,290,293,280,252,221,204,184,197,201,182,192,171,160,180,193,181,196,213,228,232,255,294,282,296,302,335,365,447,452,456,516,558,581,649,620,722,745,752,895,2320,774
gpu_shared,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,5,9,12,17,18,39,59,46,73,106,137,263,348,412,179,173,191,251,227,221,226,299,319,326,329,368,389,449,511,570,537,588,580,584,565,661,718,771,802,748,926,861,893,960,1014,1161,1283,1443,1554,1737,1732,1426,1295,1142,1119,1146,1197,1269,1281,1435,1571,1584,1652,1783,1885,1875,1815,1805,1868,1904,1912,2005,2155,2155,2256,2152,2290,2266,2418,2470,2531,2346,2725,2804,3029,3195,3285,3392,4360,5942,4643,6929,7061,4662,4173,3186,2848,2649,2599,2519,2507,2643,2786,2615,2637,2496,2600,2508,2512,2524,2411,2381,2436,2525,2296,2641,2566,2559,2515,3037,3837,3657,4631,4423,3540,3413,3186,2707,2522,2323,1931,1885,1737,1478,1373,1352,1312,1320,1206,1212,1310,1489,1383,1887,1719,1493,2074,1706,1382,1998,1686,1361,2003,1832,1304,1751,1724,1333,1712,1607,1249,1459,1481,1229,1689,1755,1452,2121,1743,1665,1992,1828,1794,1849,1733,1517,1388,1295,1212,1078,1008,979,924,894,859,894,877,714,765,605,532,508,480,396,401,355,311,290,293,280,252,221,204,184,197,201,182,192,171,160,180,193,181,196,213,228,232,255,294,282,296,302,335,365,447,452,456,516,558,581,649,620,722,745,752,895,2320,774
