Data size,log2(size),Seq,Para1,Seq,Para,Seq/Para
1024,10,1.244189E-06,3.554323E-06,1.2150283203125E-09,3.4710185546875E-09,0.350049503098058
2048,11,3.173237E-06,9.040761E-06,1.54943212890625E-09,4.41443408203125E-09,0.350992245011233
4096,12,1.4751079E-05,7.5704263E-05,3.60133764648437E-09,1.84824860839844E-08,0.194851365239498
8192,13,3.408851E-05,8.1056543E-05,4.16119506835937E-09,9.89459753417969E-09,0.420552231051847
16384,14,6.8052792E-05,4.4653397E-05,4.15361279296875E-09,2.72542706298828E-09,1.52402273000641
32768,15,0.000132661121,7.2423152E-05,4.04849612426758E-09,2.21017919921875E-09,1.83175017016658
65536,16,0.000294030186,0.000176511958,4.48654458618164E-09,2.69335873413086E-09,1.66578054728734
131072,17,0.000654869725,0.000276114996,4.99625949859619E-09,2.10659024047852E-09,2.37172820921324
262144,18,0.001139421346,0.000611433884,4.34654749298096E-09,2.33243516540527E-09,1.86352339282525
524288,19,0.002384830899,0.003280793556,4.54870395469666E-09,6.25761710357666E-09,0.726906724941153
1048576,20,0.005296922199,0.002158447521,5.05153865718842E-09,2.05845596408844E-09,2.45404261510419
2097152,21,0.009251334148,0.004206715012,4.41137988471985E-09,2.0059180316925E-09,2.19918252641546
4194304,22,0.019696309721,0.008502367636,4.69596617722511E-09,2.02712241077423E-09,2.31656763906604
8388608,23,0.03795649133,0.017623883604,4.52476636528969E-09,2.1009306435585E-09,2.15369621037359
16777216,24,0.075798115698,0.034510989362,4.51791976082325E-09,2.05701526176929E-09,2.19634722444269
