Data size,Seq,Para1,Para2
16384,7.6E-05,6.4E-05,0
32768,0.000151,9.8E-05,0
65536,0.00028,0.000168,0
131072,0.000583,0.000268,0
262144,0.001238,0.000912,0
524288,0.002451,0.001112,0
1048576,0.005177,0.002566,0
2097152,0.00973,0.005224,0
4194304,0.020158,0.013434,0
8388608,0.040054,0.023014,0
16777216,0.08504,0.043045,0
