Data size,log2(size),Seq,Para1,Seq,Para,Seq/Para
1024,10,1.953147E-06,6.236999E-06,1.9073701171875E-09,6.0908193359375E-09,0.313154932364106
2048,11,5.261817E-06,4.821123E-06,2.56924658203125E-09,2.35406396484375E-09,1.09140899329886
4096,12,6.482763E-06,2.3235547E-05,1.58270581054687E-09,5.67274096679688E-09,0.279001953343298
8192,13,1.4172719E-05,3.266744E-06,1.73006823730469E-09,3.987724609375E-10,4.33848474199386
16384,14,2.2999484E-05,6.808422E-06,1.40377709960937E-09,4.15553100585938E-10,3.37809319105073
32768,15,4.76083E-05,1.1601341E-05,1.45289001464844E-09,3.54044830322266E-10,4.10368939245903
65536,16,8.7060538E-05,1.5161789E-05,1.32843838500977E-09,2.31350540161133E-10,5.74210193797051
131072,17,0.000200124559,3.1705959E-05,1.52682921600342E-09,2.41897270202637E-10,6.31189105492756
262144,18,0.000310365569,0.000103957402,1.18395068740845E-09,3.96566017150879E-10,2.98550716956162
524288,19,0.00084387311,0.000117677511,1.60956022262573E-09,2.24452039718628E-10,7.17106525137161
1048576,20,0.001181840793,0.000262020645,1.1270912103653E-09,2.498823595047E-10,4.51048730530375
2097152,21,0.002386000389,0.000401129576,1.13773364496231E-09,1.91273487091064E-10,5.94820360241898
4194304,22,0.004712741037,0.000780823183,1.12360502171516E-09,1.86162753820419E-10,6.03560593435915
8388608,23,0.009372015932,0.001499821906,1.11723136091232E-09,1.78792703866959E-10,6.24875253155557
16777216,24,0.018687368014,0.003283990006,1.11385393226147E-09,1.95741057753563E-10,5.6904460670883
