Data size,Seq,Para1,Para2
16384,1.6E-05,2.1E-05,0
32768,4.1E-05,2.8E-05,0
65536,7.8E-05,1.9E-05,0
131072,0.000147,4.4E-05,0
262144,0.000425,0.000395,0
524288,0.000909,0.001132,0
1048576,0.002763,0.002766,0
2097152,0.006248,0.006925,0
4194304,0.011425,0.016045,0
8388608,0.022111,0.028472,0
16777216,0.048148,0.051655,0
