Data size,Seq,Para1,Para2
16384,2.1E-05,1.2E-05,0
32768,3.6E-05,2.1E-05,0
65536,6.2E-05,1.9E-05,0
131072,0.000112,4.2E-05,0
262144,0.00023,0.000106,0
524288,0.000396,0.000108,0
1048576,0.000764,0.000232,0
2097152,0.002045,0.000587,0
4194304,0.003772,0.001905,0
8388608,0.006603,0.001997,0
16777216,0.015787,0.004086,0
